spkid,full_name,pdes,name,prefix,neo,pha,sats,H,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms
20001566,  1566 Icarus (1949 MA),1566,Icarus,,Y,Y,0,16.59,,,,,,,1,,0.51,2.2726,,0.774,0.52,,,,,,154,2460200.5,60200,2023-09-13.0,J2000,0.8269,1.078,0.187,22.8,87.95,31.44,168.65,1.97,0.8805,2460008.96,2023-03-05.4,409,1.12,0.0338,13.2,3.22,5.3,1.20E-08,2.60E-09,1.30E-08,3.60E-06,1.20E-06,2.00E-06,8.50E-06,4.70E-09,3.20E-09,8.90E-06,1.50E-06,APO,Otto Matic,27042,01-07-1949,15-07-2023,1540,10,13,0,0.32284
20001620,  1620 Geographos (1951 RA),1620,Geographos,,Y,Y,0,15.27,,,,,,,2.56,5.0x2.0x2.1,0.29,5.22204,,0.862,0.471,,S,S,,0.15,745,2460200.5,60200,2023-09-13.0,J2000,0.3355,1.246,0.828,13.34,337.17,276.95,5.84,1.66,0.7089,2460192.26,2023-09-04.7,508,1.39,0.03,11.7,3.45,5.07,8.40E-09,8.60E-10,1.10E-08,4.40E-07,2.00E-06,2.80E-06,2.80E-06,1.10E-09,7.30E-10,3.90E-06,5.30E-07,APO,Otto Matic,26152,14-09-1951,21-04-2023,7984,3,4,0,0.27978
20001862,  1862 Apollo (1932 HA),1862,Apollo,,Y,Y,1,16.1,0.09,,,,,,1.5,,0.25,3.065,,0.819,0.481,,Q,Q,,,JPL 477,2460200.5,60200,2023-09-13.0,J2000,0.5599,1.471,0.647,6.35,35.56,286.05,31.77,2.29,0.5526,2460143,2023-07-17.5,652,1.78,0.0261,10.2,3.06,4.41,3.00E-09,1.80E-10,4.40E-09,1.70E-07,1.70E-06,1.70E-06,5.40E-07,2.70E-10,9.90E-11,9.60E-07,1.20E-07,APO,Otto Matic,33768,13-12-1930,27-05-2023,2923,8,9,0,0.43257
20001981,  1981 Midas (1973 EA),1981,Midas,,Y,Y,0,15.28,,,,,,,3.4,,,5.22,,,,,V,,,,229,2460200.5,60200,2023-09-13.0,J2000,0.6501,1.777,0.622,39.82,356.85,267.82,92.26,2.93,0.4162,2459978.82,2023-02-03.3,865,2.37,0.00314,1.22,3.31,3.61,2.20E-08,2.70E-09,4.00E-08,5.20E-06,1.80E-06,5.10E-06,2.40E-06,4.50E-09,9.60E-10,5.30E-06,2.00E-06,APO,Otto Matic,17760,06-03-1973,20-10-2021,1077,12,1,0,0.39189
20002101,  2101 Adonis (1936 CA),2101,Adonis,,Y,Y,0,18.72,,,,,,,0.6,,,,,,,,,,,,47,2460200.5,60200,2023-09-13.0,J2000,0.7643,1.874,0.442,1.32,349.47,43.64,77.18,3.31,0.3843,2459999.65,2023-02-24.1,937,2.56,0.0115,4.48,2.15,3.55,5.90E-08,9.90E-09,1.10E-07,9.60E-06,4.50E-04,4.50E-04,9.60E-06,1.70E-08,3.00E-09,2.40E-05,7.40E-06,APO,Otto Matic,30790,21-02-1936,09-06-2020,123,0,5,0,0.39458
20002102,  2102 Tantalus (1975 YA),2102,Tantalus,,Y,Y,0,15.97,,,,,,,1.649,,0.245,2.384,,,,,Q,,,0.04,253,2460200.5,60200,2023-09-13.0,J2000,0.2993,1.29,0.904,64,94.35,61.52,169.2,1.68,0.6727,2459948.97,2023-01-04.4,535,1.47,0.0419,16.3,3.77,4.45,2.00E-09,8.40E-10,2.50E-09,2.90E-07,3.10E-07,6.90E-07,1.50E-06,1.10E-09,6.60E-10,2.10E-06,5.20E-07,APO,Otto Matic,17351,30-12-1975,02-07-2023,1634,1,0,0,0.31003
20002135,  2135 Aristaeus (1977 HA),2135,Aristaeus,,Y,Y,0,18.05,,,,,,,,,,,,,,,,,,,24,2460200.5,60200,2023-09-13.0,J2000,0.5028,1.6,0.795,23.07,191.12,290.97,7.48,2.4,0.4871,2460185.14,2023-08-28.6,739,2.02,0.00884,3.44,2.96,4.13,1.30E-06,8.10E-08,2.00E-06,5.10E-05,3.40E-04,1.60E-04,7.50E-04,1.20E-07,3.70E-08,1.50E-03,5.60E-05,APO,Otto Matic,15749,17-04-1977,30-05-2020,61,,,1,0.54865
20002201,  2201 Oljato (1947 XC),2201,Oljato,,Y,Y,0,15.35,,,,,,,1.8,,0.4328,26,,,,,Sq,,,0.1,246,2460200.5,60200,2023-09-13.0,J2000,0.7114,2.178,0.628,2.52,74.87,98.42,211.77,3.73,0.3067,2460683.77,2025-01-08.2,1.17E+03,3.21,0.0029,1.13,1.24,3.3,3.00E-08,8.70E-09,6.40E-08,3.30E-06,1.00E-04,1.00E-04,4.70E-06,1.50E-08,1.80E-09,1.80E-05,7.10E-06,APO,Otto Matic,33176,03-12-1931,02-10-2022,1175,0,5,0,0.45879
20002340,  2340 Hathor (1976 UA),2340,Hathor,,Y,Y,0,20.43,,,,,,,0.3,,,3.35,,0.77,0.5,,Sq,CSU,,,62,2460200.5,60200,2023-09-13.0,J2000,0.4499,0.8438,0.464,5.86,211.3,40.09,264.78,1.22,1.272,2460275.38,2023-11-26.8,283,0.775,0.00662,2.58,3.81,6.88,3.60E-08,9.50E-10,3.10E-08,4.30E-06,1.30E-05,1.40E-05,5.70E-06,1.40E-09,2.20E-09,4.60E-06,4.80E-07,ATE,Giorgini,16477,25-10-1976,05-12-2021,572,4,3,0,0.37471
20003122,  3122 Florence (1981 ET3),3122,Florence,,Y,Y,2,14.1,,,,,,,4.9,,0.231,2.3581,,,,,S,,,,742,2460200.5,60200,2023-09-13.0,J2000,0.4231,1.769,1.02,22.14,336.06,27.88,193.13,2.52,0.4189,2460598.84,2024-10-15.3,859,2.35,0.0445,17.3,3,3.92,5.50E-09,3.50E-09,9.80E-09,1.80E-06,1.20E-06,3.30E-06,2.60E-06,4.90E-09,1.20E-09,7.30E-06,2.50E-06,AMO,Otto Matic,16161,09-03-1979,07-06-2023,8133,6,0,0,0.25439
20003200,  3200 Phaethon (1983 TB),3200,Phaethon,,Y,Y,0,14.4,,,,,,,6.25,,0.1066,3.604,,,,,B,F,,0.15,780,2460200.5,60200,2023-09-13.0,J2000,0.89,1.271,0.14,22.29,265.15,322.24,334.02,2.4,0.6877,2460238.28,2023-10-20.7,524,1.43,0.0196,7.61,2.73,4.51,1.30E-09,1.40E-09,1.60E-09,4.20E-07,9.80E-07,9.20E-07,1.80E-06,2.70E-09,1.20E-09,2.70E-06,8.90E-07,APO,Davide Farnocchia,14244,27-10-1983,26-10-2022,5620,8,0,0,0.29598
20003361,  3361 Orpheus (1982 HR),3361,Orpheus,,Y,Y,0,19.56,,,,,,,0.3,,0.357,3.5327,,1.022,0.503,,,,,,182,2460200.5,60200,2023-09-13.0,J2000,0.3229,1.21,0.82,2.66,188.68,302.36,88.47,1.6,0.7401,2460080.97,2023-05-16.4,486,1.33,0.0144,5.6,3.45,5.21,3.60E-08,1.80E-09,4.40E-08,2.30E-06,3.60E-05,3.60E-05,1.60E-06,2.40E-09,1.70E-09,2.00E-06,1.10E-06,APO,Otto Matic,14537,24-04-1982,10-02-2022,2729,2,0,0,0.22095
20003362,  3362 Khufu (1984 QA),3362,Khufu,,Y,Y,0,18.52,,,,,,,0.7,,0.21,,,,,,,,,,24,2460200.5,60200,2023-09-13.0,J2000,0.4686,0.9895,0.526,9.92,152.42,55.07,319.35,1.45,1.001,2460241.09,2023-10-23.5,360,0.984,0.0133,5.17,3.52,6.02,5.70E-07,1.20E-08,5.70E-07,1.20E-05,5.80E-05,4.80E-05,2.00E-04,1.80E-08,1.80E-08,2.00E-04,6.50E-06,ATE,Otto Matic,7394,30-08-1984,27-11-2004,262,,,1,0.6347
20003671,  3671 Dionysus (1984 KD),3671,Dionysus,,Y,Y,1,16.54,,,,,,,1.5,,0.16,2.7053,,,,,Cb,,,,JPL 186,2460200.5,60200,2023-09-13.0,J2000,0.541,2.2,1.009,13.53,82.06,204.3,10.67,3.39,0.3021,2460165.18,2023-08-08.6,1.19E+03,3.26,0.0217,8.46,1.83,3.43,1.80E-08,1.30E-09,4.00E-08,4.00E-06,1.40E-05,1.40E-05,5.70E-06,1.90E-09,2.60E-10,1.90E-05,1.00E-06,APO,Otto Matic,14307,27-05-1984,29-07-2023,1000,,,0,0.479
20003757,  3757 Anagolay (1982 XB),3757,Anagolay,,Y,Y,0,19.04,,,,,,,0.5,,0.18,9.012,,0.859,0.522,,,S,,,54,2460200.5,60200,2023-09-13.0,J2000,0.4457,1.835,1.017,3.87,74.93,17.22,135.07,2.65,0.3966,2459859.91,2022-10-07.4,908,2.49,0.0363,14.1,2.58,3.9,5.20E-08,2.30E-09,9.50E-08,6.30E-06,6.50E-05,6.90E-05,1.30E-05,3.30E-09,7.40E-10,3.10E-05,1.70E-06,AMO,Otto Matic,14759,14-12-1982,12-05-2023,198,0,2,0,0.71169
